iter	Passed	Remaining
0	11	3569
1	22	3408
2	33	3336
3	44	3288
4	55	3272
5	76	3760
6	87	3673
7	98	3596
8	109	3548
9	120	3489
10	130	3441
11	141	3399
12	151	3353
13	162	3323
14	173	3291
15	184	3269
16	194	3240
17	206	3227
18	218	3235
19	229	3216
20	240	3194
21	252	3185
22	263	3173
23	274	3159
24	285	3138
25	296	3119
26	306	3099
27	316	3078
28	328	3072
29	341	3073
30	351	3053
31	362	3040
32	373	3022
33	384	3009
34	395	2995
35	406	2979
36	417	2967
37	427	2949
38	438	2936
39	449	2918
40	460	2906
41	471	2895
42	481	2880
43	493	2873
44	504	2861
45	516	2851
46	527	2839
47	538	2826
48	549	2815
49	561	2806
50	572	2792
51	583	2782
52	594	2770
53	605	2759
54	616	2746
55	626	2730
56	637	2718
57	648	2704
58	660	2696
59	671	2684
60	681	2670
61	692	2659
62	703	2645
63	714	2635
64	725	2622
65	738	2618
66	750	2609
67	761	2597
68	772	2585
69	783	2574
70	794	2563
71	805	2550
72	816	2539
73	827	2527
74	838	2515
75	849	2503
76	860	2491
77	871	2481
78	882	2467
79	893	2456
80	904	2445
81	915	2433
82	927	2426
83	938	2414
84	950	2403
85	960	2390
86	971	2378
87	983	2368
88	993	2355
89	1004	2344
90	1015	2332
91	1026	2320
92	1037	2308
93	1047	2295
94	1058	2284
95	1069	2272
96	1080	2260
97	1091	2250
98	1102	2237
99	1113	2226
100	1124	2214
101	1135	2205
102	1147	2195
103	1158	2184
104	1169	2172
105	1180	2160
106	1191	2149
107	1203	2139
108	1214	2128
109	1225	2117
110	1237	2107
111	1248	2095
112	1259	2084
113	1277	2084
114	1288	2073
115	1299	2061
116	1310	2049
117	1320	2037
118	1331	2025
119	1342	2013
120	1353	2002
121	1364	1990
122	1375	1979
123	1386	1968
124	1397	1955
125	1408	1945
126	1418	1932
127	1429	1921
128	1441	1910
129	1451	1898
130	1463	1887
131	1473	1875
132	1484	1864
133	1496	1853
134	1508	1844
135	1521	1834
136	1535	1827
137	1548	1817
138	1560	1807
139	1574	1799
140	1586	1788
141	1597	1777
142	1608	1765
143	1620	1755
144	1631	1744
145	1642	1732
146	1652	1720
147	1663	1708
148	1674	1696
149	1685	1685
150	1696	1674
151	1707	1662
152	1718	1651
153	1729	1639
154	1740	1628
155	1751	1616
156	1761	1604
157	1773	1593
158	1783	1581
159	1794	1570
160	1806	1559
161	1816	1547
162	1827	1536
163	1838	1524
164	1849	1513
165	1860	1501
166	1871	1490
167	1882	1478
168	1892	1466
169	1903	1455
170	1914	1444
171	1925	1432
172	1937	1422
173	1949	1411
174	1960	1400
175	1971	1388
176	1982	1377
177	1993	1366
178	2004	1355
179	2015	1343
180	2027	1332
181	2037	1321
182	2049	1310
183	2060	1298
184	2070	1287
185	2082	1276
186	2092	1264
187	2103	1253
188	2114	1242
189	2125	1230
190	2136	1219
191	2147	1208
192	2159	1196
193	2169	1185
194	2180	1174
195	2192	1163
196	2203	1152
197	2214	1141
198	2226	1129
199	2237	1118
200	2248	1107
201	2260	1096
202	2271	1085
203	2281	1073
204	2292	1062
205	2303	1050
206	2313	1039
207	2324	1028
208	2336	1017
209	2348	1006
210	2360	995
211	2370	984
212	2381	972
213	2393	961
214	2403	950
215	2414	938
216	2424	927
217	2436	916
218	2447	905
219	2458	893
220	2468	882
221	2479	871
222	2489	859
223	2501	848
224	2511	837
225	2523	826
226	2534	815
227	2545	803
228	2556	792
229	2566	781
230	2577	770
231	2588	758
232	2599	747
233	2609	736
234	2620	724
235	2632	713
236	2642	702
237	2654	691
238	2665	680
239	2676	669
240	2687	658
241	2699	646
242	2710	635
243	2722	624
244	2732	613
245	2743	602
246	2756	591
247	2767	580
248	2778	569
249	2790	558
250	2800	546
251	2811	535
252	2822	524
253	2833	513
254	2844	501
255	2855	490
256	2866	479
257	2876	468
258	2888	457
259	2899	446
260	2909	434
261	2921	423
262	2931	412
263	2942	401
264	2954	390
265	2965	379
266	2977	367
267	2988	356
268	2998	345
269	3009	334
270	3019	323
271	3030	311
272	3041	300
273	3052	289
274	3062	278
275	3074	267
276	3086	256
277	3096	245
278	3107	233
279	3118	222
280	3129	211
281	3141	200
282	3153	189
283	3163	178
284	3175	167
285	3185	155
286	3197	144
287	3208	133
288	3218	122
289	3229	111
290	3240	100
291	3251	89
292	3261	77
293	3272	66
294	3284	55
295	3295	44
296	3306	33
297	3316	22
298	3327	11
299	3338	0
